cycle,count,mae-o,mae-w0.25,mae-w0.5,mae-w.75
270,15,0.273057859025,0.249583768834,0.248538600934,0.24242501407
271,15,0.164935704609,0.166949572011,0.219343664198,0.173701968581
272,15,0.140868684267,0.148311503948,0.127823297993,0.134033575188
273,15,0.109577446293,0.122982917855,0.119004183547,0.12597471247
274,15,0.154202403836,0.131941815592,0.131679559469,0.127759369455
275,15,0.146209996947,0.140911953097,0.136350827594,0.138863604639
276,15,0.340628362683,0.332154489712,0.314862936515,0.340109887446
277,15,0.146601271552,0.131325735328,0.157526278395,0.202709859478
278,15,0.136524999895,0.110983555406,0.114161426409,0.104583467664
279,15,0.138054703677,0.134475129962,0.129681295958,0.120715134706
280,15,0.15686715789,0.152068110744,0.151568209659,0.155577016675
281,15,0.170395742685,0.175293289669,0.173029068316,0.169112725952
282,15,0.173723490139,0.170318865675,0.188451586493,0.162648829825
283,15,0.145231682845,0.146311132746,0.159512830394,0.142426912676
284,15,0.154886137708,0.164369734229,0.174393632727,0.169496630741
285,15,0.106788742229,0.120585551757,0.109425129818,0.114943820288
286,15,0.128875584077,0.120783992494,0.15489646625,0.141979976058
287,15,0.153310087172,0.148890478734,0.149371840287,0.159348249969
288,15,0.137663050449,0.126975028328,0.13566526683,0.140874754604
289,15,0.155476806373,0.157393870792,0.147553493468,0.144854985219
290,15,0.163828240099,0.155796785053,0.153199784529,0.172215421116
291,15,0.145790439182,0.158423006998,0.163107488478,0.135602457726
292,15,0.0937982973819,0.103060857436,0.0994896796817,0.0982880590758
293,15,0.113272165689,0.12195363135,0.107532447114,0.098459012543
294,15,0.122041796472,0.147384348818,0.118919233046,0.14671765564
295,15,0.125220341269,0.129108969373,0.129343191128,0.12660916413
296,15,0.120921078101,0.107286471861,0.11000778518,0.11126932918
297,15,0.12829960447,0.155700524411,0.142448282627,0.127735424661
298,15,0.149652638277,0.145256417846,0.139230802217,0.150126155758
299,15,0.139614815568,0.125389021524,0.10731429373,0.106717025997
300,15,0.163119249277,0.183443161671,0.134160547321,0.129597079199
301,15,0.135014001338,0.136187268786,0.128980870282,0.145362740224
302,15,0.116742259858,0.145602100632,0.127778392573,0.164840453176
303,15,0.125057725872,0.11438033639,0.119940144652,0.123916478597
304,15,0.119063840627,0.120102339116,0.116213515463,0.113956344641
305,15,0.135094278814,0.136738827822,0.130279933446,0.141297985786
306,15,0.139513083122,0.146853534545,0.139676427081,0.132700453031
307,15,0.130490464144,0.131043112457,0.126960364095,0.133839277096
308,15,0.137445323424,0.147983987494,0.140548118939,0.139769689064
309,15,0.219427160777,0.208693402963,0.233621765603,0.269601980637
310,15,0.214109272123,0.193764054008,0.209879095719,0.230674259313
311,15,0.222617486521,0.239446057409,0.262950723247,0.219772126927
312,15,0.35388213834,0.349889993555,0.316620140864,0.336315643286
313,15,0.531181379189,0.462545886537,0.465177988667,0.52692068637
314,15,0.272804722349,0.288604558261,0.286785952447,0.273527551237
315,15,0.251105628921,0.217943151749,0.250785963924,0.218160286343
316,15,0.230962935821,0.226397110051,0.221140053134,0.238310097634
317,15,0.248942516033,0.263308153602,0.3004614163,0.326780231595
318,15,0.195086092884,0.188717247878,0.204455675436,0.198905940738
